school_id,class,timestamp,stream
148,JSS1,02-01-2024,2
148,JSS2,02-01-2024,1
148,JSS3,02-01-2024,1
148,SSS1,02-01-2024,1
148,SSS2,02-01-2024,1
148,SSS3,02-01-2024,1
1035,JSS1,02-01-2024,1
1035,JSS2,02-01-2024,1
1035,JSS3,02-01-2024,1
1035,SSS1,02-01-2024,1
1035,SSS2,02-01-2024,1
1035,SSS3,02-01-2024,1
1036,JSS1,02-01-2024,1
1036,JSS2,02-01-2024,1
1036,JSS3,02-01-2024,1
1036,SSS1,02-01-2024,1
1036,SSS2,02-01-2024,1
1036,SSS3,02-01-2024,1
144,JSS1,02-01-2024,1
144,JSS2,02-01-2024,1
144,JSS3,02-01-2024,1
144,SSS1,02-01-2024,1
144,SSS2,02-01-2024,1
144,SSS3,02-01-2024,1
178,JSS1,02-01-2024,0
178,JSS2,02-01-2024,6
178,JSS3,02-01-2024,6
178,SSS1,02-01-2024,6
178,SSS2,02-01-2024,6
178,SSS3,02-01-2024,6
175,JSS1,02-01-2024,6
175,JSS2,02-01-2024,6
175,JSS3,02-01-2024,6
175,SSS1,02-01-2024,5
175,SSS2,02-01-2024,4
175,SSS3,02-01-2024,4
173,JSS1,02-01-2024,6
173,JSS2,02-01-2024,5
173,JSS3,02-01-2024,6
173,SSS1,02-01-2024,6
173,SSS2,02-01-2024,6
173,SSS3,02-01-2024,6
169,JSS1,02-01-2024,7
169,JSS2,02-01-2024,7
169,JSS3,02-01-2024,7
169,SSS1,02-01-2024,7
169,SSS2,02-01-2024,5
169,SSS3,02-01-2024,5
163,JSS1,02-01-2024,7
163,JSS2,02-01-2024,7
163,JSS3,02-01-2024,7
163,SSS1,02-01-2024,7
163,SSS2,02-01-2024,7
163,SSS3,02-01-2024,4
176,JSS1,02-01-2024,5
176,JSS2,02-01-2024,5
176,JSS3,02-01-2024,6
176,SSS1,02-01-2024,4
176,SSS2,02-01-2024,5
176,SSS3,02-01-2024,5
172,JSS1,02-01-2024,4
172,JSS2,02-01-2024,4
172,JSS3,02-01-2024,4
172,SSS1,02-01-2024,3
172,SSS2,02-01-2024,3
172,SSS3,02-01-2024,3
168,JSS1,02-01-2024,7
168,JSS2,02-01-2024,6
168,JSS3,02-01-2024,5
168,SSS1,02-01-2024,5
168,SSS2,02-01-2024,5
168,SSS3,02-01-2024,5
177,JSS1,02-01-2024,3
177,JSS2,02-01-2024,2
177,JSS3,02-01-2024,2
177,SSS1,02-01-2024,2
177,SSS2,02-01-2024,2
177,SSS3,02-01-2024,2
167,JSS1,02-01-2024,2
167,JSS2,02-01-2024,2
167,JSS3,02-01-2024,2
167,SSS1,02-01-2024,2
167,SSS2,02-01-2024,2
167,SSS3,02-01-2024,2
170,JSS1,02-01-2024,3
170,JSS2,02-01-2024,3
170,JSS3,02-01-2024,3
170,SSS1,02-01-2024,2
170,SSS2,02-01-2024,3
170,SSS3,02-01-2024,2
164,JSS1,02-01-2024,2
164,JSS2,02-01-2024,2
164,JSS3,02-01-2024,2
164,SSS1,02-01-2024,2
164,SSS2,02-01-2024,2
164,SSS3,02-01-2024,2
165,JSS1,02-01-2024,2
165,JSS2,02-01-2024,2
165,JSS3,02-01-2024,2
165,SSS1,02-01-2024,2
165,SSS2,02-01-2024,2
165,SSS3,02-01-2024,2
181,JSS1,02-01-2024,2
181,JSS2,02-01-2024,2
181,JSS3,02-01-2024,2
181,SSS1,02-01-2024,2
181,SSS2,02-01-2024,2
181,SSS3,02-01-2024,2
180,JSS1,02-01-2024,1
180,JSS2,02-01-2024,1
180,JSS3,02-01-2024,2
180,SSS1,02-01-2024,1
180,SSS2,02-01-2024,1
180,SSS3,02-01-2024,1
171,JSS1,02-01-2024,2
171,JSS2,02-01-2024,2
171,JSS3,02-01-2024,2
171,SSS1,02-01-2024,2
171,SSS2,02-01-2024,2
171,SSS3,02-01-2024,2
174,JSS1,02-01-2024,1
174,JSS2,02-01-2024,1
174,JSS3,02-01-2024,1
174,SSS1,02-01-2024,1
174,SSS2,02-01-2024,1
174,SSS3,02-01-2024,1
166,JSS1,02-01-2024,1
166,JSS2,02-01-2024,1
166,JSS3,02-01-2024,1
166,SSS1,02-01-2024,1
166,SSS2,02-01-2024,1
166,SSS3,02-01-2024,1
179,JSS1,02-01-2024,3
179,JSS2,02-01-2024,3
179,JSS3,02-01-2024,3
179,SSS1,02-01-2024,4
179,SSS2,02-01-2024,3
179,SSS3,02-01-2024,3
276,JSS1,02-01-2024,6
276,JSS2,02-01-2024,5
276,JSS3,02-01-2024,4
276,SSS1,02-01-2024,4
276,SSS2,02-01-2024,4
276,SSS3,02-01-2024,4
277,JSS1,02-01-2024,2
277,JSS2,02-01-2024,2
277,JSS3,02-01-2024,2
277,SSS1,02-01-2024,2
277,SSS2,02-01-2024,2
277,SSS3,02-01-2024,2
270,JSS1,02-01-2024,4
270,JSS2,02-01-2024,4
270,JSS3,02-01-2024,4
270,SSS1,02-01-2024,3
270,SSS2,02-01-2024,3
270,SSS3,02-01-2024,3
274,JSS1,02-01-2024,4
274,JSS2,02-01-2024,3
274,JSS3,02-01-2024,3
274,SSS1,02-01-2024,2
274,SSS2,02-01-2024,2
274,SSS3,02-01-2024,3
272,JSS1,02-01-2024,2
272,JSS2,02-01-2024,2
272,JSS3,02-01-2024,2
272,SSS1,02-01-2024,2
272,SSS2,02-01-2024,2
272,SSS3,02-01-2024,2
273,JSS1,02-01-2024,2
273,JSS2,02-01-2024,2
